,end station name,end station latitude,end station longitude
829,34 Ave & 21 St,40.762813799999996,-73.9342862
830,E 58 St & 3 Ave,40.76095756,-73.96724467
833,E 149 St & Morris Ave,40.81734,-73.922962
834,Division Ave & Marcy Ave,40.70708701,-73.95796783
840,Central Park W & W 97 St,40.79249519495111,-73.9641706646307
843,Carlton Ave & Park Ave,40.69580705,-73.97355569
844,1 Ave & E 30 St,40.74144387,-73.97536082
845,Pearl St & Peck Slip,40.708484999999996,-74.002751
846,Dock 72 Way & Market St,40.69985,-73.97140999999999
860,E 43 St & 5 Ave,40.754120810779256,-73.98025184869765
869,7 Ave & Park Pl,40.67761470000001,-73.97324283
873,William St & Pine St,40.70717936,-74.00887308
874,Bedford Ave & Nassau Ave,40.72311651,-73.95212324
876,W 169 St & Fort Washington Ave,40.8428422,-73.9421253
878,Henry St & Atlantic Ave,40.69089272,-73.99612349
880,E 47 St & 1 Ave,40.75206862,-73.96784384
881,Central Park S & 6 Ave,40.76590936,-73.97634151
882,Water - Whitehall Plaza,40.70255065,-74.0127234
883,Pleasant Ave & E 120 St,40.7974772,-73.9311847
886,Bergen St & Smith St,40.686744299999994,-73.99063168
887,Cadman Plaza E & Johnson St,40.69531727766904,-73.99015724658966
892,Broadway & W 165 St,40.839137,-73.941409
898,Stanton St & Chrystie St,40.72229346,-73.99147535
900,W 106 St & Central Park West,40.798185600000004,-73.96059090060001
901,Adam Clayton Powell Blvd & W 151 St,40.825289,-73.93623199999999
902,Fulton St & Adams St,40.692418292578466,-73.98949474096298
905,E 65 St & 2 Ave,40.76471851944339,-73.96222069859505
906,37 Ave & 35 St,40.7531106,-73.9279917
908,W 55 St & 6 Ave,40.763189000000004,-73.978434
914,W 148 St & Amsterdam Ave,40.827075,-73.945909
915,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603
917,Albany Ave & Fulton St,40.6800105,-73.938475
918,Madison Ave & E 99 St,40.78948541553215,-73.9524292945862
924,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613
926,Grand Concourse & E 161 St,40.827115,-73.92272
927,E 2 St & 2 Ave,40.72502876,-73.99069656
928,W Broadway & Spring St,40.72494672359416,-74.00165855884552
933,Prospect Park West & 8 St,40.66514681533792,-73.97637605667114
937,2 Ave & E 72 St,40.7687620293096,-73.95840793848038
938,E 115 St & Madison Ave,40.7989445,-73.944846
939,Broadway & W 133 St,40.8190344,-73.95615600000001
942,5 Ave & E 78 St,40.77632142182271,-73.96427392959596
944,Madison Ave & E 26 St,40.742684734875695,-73.98671329021455
947,5 Ave & E 88 St,40.78307,-73.95939
948,E 89 St & York Ave,40.7779453,-73.94604100000001
951,W 84 St & Columbus Ave,40.78499979,-73.97283406
957,12 Ave & W 125 St,40.818298999999996,-73.96040500000001
959,E 84 St & 1 Ave,40.77565541,-73.95068615
960,E 58 St & 1 Ave (NE Corner),40.75892386377695,-73.96226227283478
968,Union Ave & Jackson St,40.7160751,-73.95202900000001
974,E 75 St & 3 Ave,40.77112927,-73.95772297
976,E 110 St & Madison Ave,40.796153499999996,-73.94782145
977,E 25 St & 1 Ave,40.7381765,-73.97738662
978,Vesey Pl & River Terrace,40.715337899999994,-74.01658354
982,Sheridan Ave & E 172 St,40.840494,-73.911479
990,Fulton St & Waverly Ave,40.68323865460341,-73.96599590778352
991,10 St & 7 Ave,40.666207799999995,-73.98199886
996,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049
997,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926
999,W 31 St & 7 Ave,40.749156,-73.9916
1002,E 66 St & Madison Ave,40.768008893059466,-73.96845281124116
1005,Central Park West & W 72 St,40.77579376683666,-73.97620573639871
1014,E 25 St & 2 Ave,40.73912601,-73.97973776
1016,W 52 St & 6 Ave,40.76132983124814,-73.97982001304626
1018,W 47 St & 6 Ave,40.758396999999995,-73.98255
1019,Myrtle Ave & St Edwards St,40.69327018,-73.97703874
1026,43 St & Broadway,40.7577284,-73.9166368
1028,South St & Gouverneur Ln,40.70355377,-74.00670227
1036,Knickerbocker Ave & Hancock St,40.69385,-73.90974
1038,Lewis Ave & Decatur St,40.6814598,-73.934903
