end station name,trips
Henry St & Middagh St,477
Henry St & W 9 St,80
Hicks St & Montague St,939
Hope St & Union Ave,789
Howard St & Centre St,2063
Hudson St & Reade St,1458
Humboldt St & Varet St,161
Huron St & Franklin St,708
India St & Manhattan Ave,636
India St & West St,391
Irving Ave & DeKalb Ave,83
Irving Ave & Halsey St,79
Irving Ave & Harman St,81
Irving Ave & Jefferson St,153
Irving Ave & Palmetto St,76
Jackson Ave & 46 Rd,250
Jackson St & Leonard St,118
Jay St & Tech Pl,842
Jay St & York St,1543
Jefferson Ave & Evergreen Ave,35
Jefferson St & Cypress Ave,72
John St & William St,826
Johnson St & Gold St,645
Kane St & Clinton St,671
Kent Ave & N 7 St,1530
Kent Ave & S 11 St,725
Kent St & McGuinness Blvd,138
Kingsland Ave & Nassau Ave,557
Kingston Ave & Herkimer St,251
Knickerbocker Ave & Cooper St,107
Knickerbocker Ave & George St,159
Knickerbocker Ave & Halsey St,61
Knickerbocker Ave & Hancock St,67
Knickerbocker Ave & Thames St,95
Kosciuszko St & Nostrand Ave,338
Kosciuszko St & Tompkins Ave,392
LaGuardia Pl & W 3 St,2769
Lafayette Ave & Classon Ave,525
Lafayette Ave & Fort Greene Pl,995
Lafayette Ave & St James Pl,792
Lafayette St & E 8 St,4730
Lafayette St & Jersey St,3034
Laight St & Hudson St,505
Lawrence St & Willoughby St,1293
Lefferts Pl & Franklin Ave,308
Lenox Ave & W 111 St,1139
Lenox Ave & W 115 St,485
Lenox Ave & W 117 St,886
Lenox Ave & W 126 St,633
Lenox Ave & W 130 St,597
Leonard St & Boerum St,206
Leonard St & Church St,1166
Leonard St & Maujer St,367
Leonard St & Nassau Ave,824
Lewis Ave & Decatur St,173
Lewis Ave & Kosciuszko St,191
Lewis Ave & Madison St,345
Lexington Ave & Classon Ave,528
Lexington Ave & E 111 St,498
Lexington Ave & E 120 St,241
Lexington Ave & E 127 St,170
Lexington Ave & E 26 St,3662
Lexington Ave & E 29 St,2061
Lexington Ave & E 36 St,1547
Liberty St & Broadway,2094
Lincoln Pl & Classon Ave,100
Linden St & Knickerbocker Ave,30
Lispenard St & Broadway,2165
Little West St & 1 Pl,1400
Lorimer St & Broadway,296
Lorimer St & Calyer St,176
MacDougal St & Prince St,2790
MacDougal St & Washington Sq,1687
Macon St & Nostrand Ave,804
Madison Ave & E 120 St,223
Madison Ave & E 82 St,772
Madison Ave & E 99 St,622
Madison St & Clinton St,1240
Madison St & Cypress Ave,27
Madison St & Evergreen Ave,37
Madison St & Forest Ave,43
Madison St & Montgomery St,1082
Madison St & Seneca Ave,27
Madison St & Woodward Ave,5
Maiden Ln & Pearl St,1065
Manhattan Av & Leonard St,124
Marcus Garvey Blvd & Macon St,276
Marcy Ave & Lafayette Ave,131
Market St & Cherry St,978
McGuinness Blvd & Eagle St,647
McKibbin St & Bogart St,217
McKibbin St & Manhattan Ave,264
Melrose St & Broadway,176
Menahan St & Central Ave,51
Menahan St & Onderdonk Ave,15
Menahan St & Seneca Ave,23
Menahan St & Wyckoff Ave,61
Mercer St & Bleecker St,2674
Mercer St & Spring St,2420
Meserole Ave & Manhattan Ave,909
Metropolitan Ave & Bedford Ave,2185
Metropolitan Ave & Meeker Ave,821
Metropolitan Ave & Stewart Ave,38
Metropolitan Ave & Vandervoort Ave,12
Milton St & Franklin St,1134
Moffat St & Bushwick,27
Monroe St & Bedford Ave,584
Monroe St & Classon Ave,559
Monroe St & Tompkins Ave,431
Montague St & Clinton St,736
Montgomery St & Franklin Ave,74
Montrose Ave & Bushwick Ave,431
Morgan Ave & Lombardy St,102
Morgan Ave & Maspeth Ave,48
Morningside Ave & W 123 St,363
Morningside Dr & Amsterdam Ave,178
Mott St & Prince St,2229
Mt Morris Park W & W 120 St,484
Murray St & Greenwich St,1958
Murray St & West St,1678
Myrtle Ave & Grove St,57
Myrtle Ave & Lewis Ave,265
Myrtle Ave & Linden St,110
Myrtle Ave & Marcy Ave,284
Myrtle Ave & St Edwards St,409
N 11 St & Kent Ave,323
N 12 St & Bedford Ave,745
N 15 St & Wythe Ave,262
N 6 St & Bedford Ave,2106
Nassau Ave & Newell St,632
Nassau Ave & Russell St,622
Nassau St & Navy St,755
Newton Rd & 44 St,136
Newtown Ave & 23 St,328
Norfolk St & Broome St,2390
Norman St & Wyckoff Ave,73
North Moore St & Greenwich St,3465
Nostrand Ave & Myrtle Ave,205
Old Fulton St,865
Old Slip & Front St,1090
Onderdonk Ave & Dekalb Ave,13
Onderdonk Ave & Gates Ave,27
Pacific St & Classon Ave,260
Pacific St & Nevins St,526
Park Ave & E 124 St,1333
Park Ave & Marcus Garvey Blvd,147
Park Ave & St Edwards St,364
Park Pl & Church St,995
Park Pl & Franklin Ave,301
Park Pl & Vanderbilt Ave,613
Pearl St & Hanover Square,1051
Peck Slip & Front St,1399
Perry St & Bleecker St,1709
Perry St & Greenwich Ave,286
Pershing Square North,7299
Pershing Square South,3044
Pier 40 - Hudson River Park,1426
Pierrepont St & Monroe Pl,482
Pike St & E Broadway,1750
Pike St & Monroe St,1156
Pioneer St & Richards St,113
Pioneer St & Van Brunt St,300
Pitt St & Stanton St,383
Plaza St West & Flatbush Ave,685
Pleasant Ave & E 116 St,921
Pleasant Ave & E 120 St,291
Powers St & Olive St,130
President St & Henry St,411
Prospect Park West & 8 St,275
Prospect Pl & 6 Ave,421
Prospect Pl & Underhill Ave,337
Pulaski St & Marcus Garvey Blvd,150
Putnam Ave & Knickerbocker Ave,28
Putnam Ave & Nostrand Ave,224
Putnam Ave & Throop Ave,273
Putnam Ave & Wyckoff Ave,66
Queens Plaza North & Crescent St,735
Railroad Ave & Kay Ave,48
Reade St & Broadway,1170
Richards St & Delavan St,98
Richardson St & N Henry St,451
Riverside Blvd & W 67 St,910
Riverside Dr & W 104 St,304
Riverside Dr & W 72 St,917
Riverside Dr & W 78 St,527
Riverside Dr & W 82 St,700
Riverside Dr & W 91 St,315
Rivington St & Chrystie St,1558
Rivington St & Ridge St,1410
Rockaway Ave & Bainbridge St,61
Roebling St & N 4 St,627
Rogers Ave & Sterling St,192
S 3 St & Bedford Ave,898
S 4 St & Rodney St,606
S 4 St & Wythe Ave,1404
S 5 Pl & S 5 St,1385
S Portland Ave & Hanson Pl,639
Schermerhorn St & Bond St,1176
Schermerhorn St & Court St,835
Scholes St & Manhattan Ave,588
Sharon St & Olive St,237
Sigourney St & Columbia St,188
Smith St & 3 St,330
Smith St & 9 St,635
Somers St & Broadway,3
South End Ave & Liberty St,2486
South St & Gouverneur Ln,1474
South St & Whitehall St,879
Spruce St & Nassau St,1037
St James Pl & Oliver St,1095
St James Pl & Pearl St,676
St Johns Pl & Washington Ave,424
St Marks Pl & 1 Ave,2718
St Marks Pl & 2 Ave,2770
St Nicholas Ave & Manhattan Ave,783
St. Nicholas Ave & W 126 St,488
Stagg St & Morgan Ave,105
Stagg St & Union Ave,595
Stanhope St & Fairview Ave,28
Stanton St & Chrystie St,2086
Stanton St & Mangin St,761
Stanton St & Norfolk St,1389
State St & Smith St,869
Steinway St & 23 Ave,171
Steinway St & 28 Ave,350
Stephen St & Seneca Ave,16
Sterling Pl & Bedford Ave,343
Sterling St & Bedford Ave,131
Stewart Ave & Johnson Ave,59
Stockholm St & Wilson Ave,111
Stuyvesant Walk & 1 Av Loop,207
Suffolk St & Stanton St,1683
Sullivan Pl & Bedford Ave,108
Sullivan St & Washington Sq,2230
Suydam St & Broadway,159
Suydam St & Knickerbocker Ave,184
Suydam St & St. Nicholas Ave,41
Throop Ave & Myrtle Ave,122
Tompkins Ave & Hopkins St,253
Underhill Ave & Lincoln Pl,464
Underhill Ave & Pacific St,454
Union Ave & Jackson St,348
Union Ave & N 12 St,850
Union Ave & Wallabout St,276
Union St & 4 Ave,928
